"K00001" "alcohol dehydrogenase [EC:1.1.1.1]"
"K08696" "carbon dioxide concentrating mechanism protein CcmK"
"K08697" "carbon dioxide concentrating mechanism protein CcmL"
"K08698" "carbon dioxide concentrating mechanism protein CcmM"
"K08700" "carbon dioxide concentrating mechanism protein CcmO"
"K08710" "N-isopropylammelide isopropylaminohydrolase [EC:3.5.4.42]"
"K08713" "potassium channel LctB"
"K08714" "voltage-gated sodium channel"
"K08715" "inward rectifier potassium channel"
"K08716" "solute carrier family 14 (urea transporter)"
"K08717" "urea transporter"
"K08720" "outer membrane protein OmpU"
"K08721" "outer membrane protein, multidrug efflux system"
"K08722" "5-deoxynucleotidase [EC:3.1.3.89]"
"K08723" "5-nucleotidase [EC:3.1.3.5]"
"K08724" "penicillin-binding protein 2B"
"K08728" "nucleoside deoxyribosyltransferase [EC:2.4.2.6]"
"K08738" "cytochrome c"
"K08744" "cardiolipin synthase (CMP-forming) [EC:2.7.8.41]"
"K08765" "carnitine O-palmitoyltransferase 1, liver isoform [EC:2.3.1.21]"
"K08776" "puromycin-sensitive aminopeptidase [EC:3.4.11.-]"
"K08777" "neutral peptidase B [EC:3.4.24.-]"
"K08851" "TP53 regulating kinase and related kinases [EC:2.7.11.1]"
"K08884" "serine/threonine protein kinase, bacterial [EC:2.7.11.1]"
"K08900" "mitochondrial chaperone BCS1"
"K08906" "cytochrome c6"
"K08926" "light-harvesting complex 1 alpha chain"
"K08927" "light-harvesting complex 1 beta chain"
"K08928" "photosynthetic reaction center L subunit"
"K08929" "photosynthetic reaction center M subunit"
"K08930" "light-harvesting protein B-800-850 alpha chain"
"K08939" "light-harvesting protein B-800-850 beta chain"
"K08942" "photosystem P840 reaction center cytochrome c551"
"K08952" "chlorosome envelope protein I"
"K08961" "chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]"
"K08963" "methylthioribose-1-phosphate isomerase [EC:5.3.1.23]"
"K08964" "methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]"
"K08965" "2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]"
"K08966" "2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]"
"K08967" "1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]"
"K08968" "L-methionine (R)-S-oxide reductase [EC:1.8.4.14]"
"K08969" "aminotransferase [EC:2.6.1.-]"
"K08970" "nickel/cobalt exporter"
"K08972" "putative membrane protein"
"K08973" "putative membrane protein"
"K08974" "putative membrane protein"
"K08976" "putative membrane protein"
"K08978" "bacterial/archaeal transporter family protein"
"K08981" "putative membrane protein"
"K08982" "putative membrane protein"
"K08983" "putative membrane protein"
"K08984" "putative membrane protein"
"K08985" "putative lipoprotein"
"K08986" "putative membrane protein"
"K08987" "putative membrane protein"
"K08988" "putative membrane protein"
"K08989" "putative membrane protein"
"K08990" "putative membrane protein"
"K08992" "lipopolysaccharide assembly protein A"
"K08993" "putative membrane protein"
"K08994" "ion channel-forming bestrophin family protein"
"K08995" "putative membrane protein"
"K08996" "putative membrane protein"
"K08997" "uncharacterized protein"
"K08998" "uncharacterized protein"
"K08999" "uncharacterized protein"
"K09000" "CRISPR-associated protein Cmr4"
"K09001" "anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]"
"K09002" "CRISPR-associated protein Csm3"
"K09003" "uncharacterized protein"
"K09004" "uncharacterized protein"
"K09005" "uncharacterized protein"
"K09007" "GTP cyclohydrolase IB [EC:3.5.4.16]"
"K09009" "uncharacterized protein"
"K09011" "(R)-citramalate synthase [EC:2.3.1.182]"
"K09012" "DeoR family transcriptional regulator, suf operon transcriptional repressor"
"K09013" "Fe-S cluster assembly ATP-binding protein"
"K09014" "Fe-S cluster assembly protein SufB"
"K09015" "Fe-S cluster assembly protein SufD"
"K09016" "putative pyrimidine permease RutG"
"K09017" "TetR/AcrR family transcriptional regulator"
"K09018" "pyrimidine oxygenase [EC:1.14.99.46]"
"K09019" "3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]"
"K09020" "ureidoacrylate peracid hydrolase [EC:3.5.1.110]"
"K09021" "aminoacrylate peracid reductase"
"K09022" "2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
"K09023" "aminoacrylate hydrolase [EC:3.5.1.-]"
"K09024" "flavin reductase [EC:1.5.1.-]"
"K09065" "N-acetylornithine carbamoyltransferase [EC:2.1.3.9]"
"K09116" "uncharacterized protein"
"K09117" "uncharacterized protein"
"K09118" "uncharacterized protein"
"K09121" "pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"
"K09122" "uncharacterized protein"
"K09123" "cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]"
"K09124" "uncharacterized protein"
"K09125" "uncharacterized protein"
"K09126" "uncharacterized protein"
"K09127" "CRISPR-associated protein Cmr3"
"K09128" "uncharacterized protein"
"K09129" "uncharacterized protein"
"K09131" "uncharacterized protein"
"K09133" "uncharacterized protein"
"K09136" "ribosomal protein S12 methylthiotransferase accessory factor"
"K09137" "uncharacterized protein"
"K09138" "uncharacterized protein"
"K09141" "uncharacterized protein"
"K09144" "uncharacterized protein"
"K09145" "uncharacterized protein"
"K09146" "uncharacterized protein"
"K09153" "uncharacterized protein"
"K09154" "uncharacterized protein"
"K09155" "uncharacterized protein"
"K09157" "uncharacterized protein"
"K09158" "uncharacterized protein"
"K09159" "antitoxin CptB"
"K09160" "uncharacterized protein"
"K09161" "uncharacterized protein"
"K09163" "uncharacterized protein"
"K09164" "uncharacterized protein"
"K09165" "uncharacterized protein"
"K09166" "uncharacterized protein"
"K09167" "uncharacterized protein"
"K09181" "acetyltransferase"
"K09190" "uncharacterized protein"
"K09251" "putrescine aminotransferase [EC:2.6.1.82]"
"K09384" "uncharacterized protein"
"K09386" "uncharacterized protein"
"K09388" "uncharacterized protein"
"K09456" "putative acyl-CoA dehydrogenase"
"K09457" "7-cyano-7-deazaguanine reductase [EC:1.7.1.13]"
"K09458" "3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]"
"K09459" "phosphonopyruvate decarboxylase [EC:4.1.1.82]"
"K09461" "anthraniloyl-CoA monooxygenase [EC:1.14.13.40]"
"K09469" "2-aminoethylphosphonate-pyruvate transaminase"
"K09470" "gamma-glutamylputrescine synthase [EC:6.3.1.11]"
"K09471" "gamma-glutamylputrescine oxidase [EC:1.4.3.-]"
"K09472" "4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]"
"K09473" "gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]"
"K09474" "acid phosphatase (class A) [EC:3.1.3.2]"
"K09475" "outer membrane pore protein C"
"K09476" "outer membrane pore protein F"
"K09477" "citrate:succinate antiporter"
"K09478" "short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]"
"K09482" "glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]"
"K09483" "3-dehydroshikimate dehydratase [EC:4.2.1.118]"
"K09516" "all-trans-retinol 13,14-reductase [EC:1.3.99.23]"
"K09607" "immune inhibitor A [EC:3.4.24.-]"
"K09612" "alkaline phosphatase isozyme conversion protein [EC:3.4.11.-]"
"K09645" "vitellogenic carboxypeptidase-like protein [EC:3.4.16.-]"
"K09650" "rhomboid-like protein [EC:3.4.21.105]"
"K09667" "protein O-GlcNAc transferase [EC:2.4.1.255]"
"K09680" "type II pantothenate kinase [EC:2.7.1.33]"
"K09681" "LysR family transcriptional regulator, transcription activator of glutamate synthase operon"
"K09682" "MarR family transcriptional regulator, protease production regulatory protein HPr"
"K09683" "hut operon positive regulatory protein"
"K09684" "purine catabolism regulatory protein"
"K09685" "purine operon repressor"
"K09688" "capsular polysaccharide transport system permease protein"
"K09689" "capsular polysaccharide transport system ATP-binding protein [EC:3.6.3.38]"
"K09690" "lipopolysaccharide transport system permease protein"
"K09691" "lipopolysaccharide transport system ATP-binding protein"
"K09692" "teichoic acid transport system permease protein"
"K09693" "teichoic acid transport system ATP-binding protein [EC:3.6.3.40]"
"K09694" "lipooligosaccharide transport system permease protein"
"K09695" "lipooligosaccharide transport system ATP-binding protein"
"K09696" "sodium transport system permease protein"
"K09697" "sodium transport system ATP-binding protein [EC:3.6.3.7]"
"K09698" "nondiscriminating glutamyl-tRNA synthetase [EC:6.1.1.24]"
"K09699" "2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]"
"K09700" "uncharacterized protein"
"K09701" "uncharacterized protein"
"K09702" "uncharacterized protein"
"K09703" "uncharacterized protein"
"K09704" "uncharacterized protein"
"K09705" "uncharacterized protein"
"K09706" "uncharacterized protein"
"K09707" "uncharacterized protein"
"K09709" "3-methylfumaryl-CoA hydratase [EC:4.2.1.153]"
"K09710" "ribosome-associated protein"
"K09711" "uncharacterized protein"
"K09712" "uncharacterized protein"
"K09714" "uncharacterized protein"
"K09726" "uncharacterized protein"
"K09729" "uncharacterized protein"
"K09733" "(5-formylfuran-3-yl)methyl phosphate synthase [EC:4.2.3.153]"
"K09740" "uncharacterized protein"
"K09747" "uncharacterized protein"
"K09748" "ribosome maturation factor RimP"
"K09749" "uncharacterized protein"
"K09758" "aspartate 4-decarboxylase [EC:4.1.1.12]"
"K09759" "nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]"
"K09760" "DNA recombination protein RmuC"
"K09761" "16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]"
"K09762" "uncharacterized protein"
"K09763" "uncharacterized protein"
"K09764" "uncharacterized protein"
"K09765" "epoxyqueuosine reductase [EC:1.17.99.6]"
"K09766" "uncharacterized protein"
"K09767" "cyclic-di-GMP-binding protein"
"K09768" "uncharacterized protein"
"K09769" "uncharacterized protein"
"K09770" "uncharacterized protein"
"K09771" "small multidrug resistance family-3 protein"
"K09772" "cell division inhibitor SepF"
"K09773" "[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]"
"K09774" "lipopolysaccharide export system protein LptA"
"K09775" "uncharacterized protein"
"K09776" "uncharacterized protein"
"K09777" "uncharacterized protein"
"K09778" "uncharacterized protein"
"K09779" "uncharacterized protein"
"K09780" "uncharacterized protein"
"K09781" "uncharacterized protein"
"K09786" "uncharacterized protein"
"K09787" "uncharacterized protein"
"K09788" "2-methylaconitate isomerase [EC:5.3.3.-]"
"K09789" "pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]"
"K09790" "uncharacterized protein"
"K09791" "uncharacterized protein"
"K09792" "uncharacterized protein"
"K09793" "uncharacterized protein"
"K09794" "uncharacterized protein"
"K09795" "uncharacterized protein"
"K09796" "periplasmic copper chaperone A"
"K09797" "uncharacterized protein"
"K09798" "uncharacterized protein"
"K09799" "uncharacterized protein"
"K09800" "translocation and assembly module TamB"
"K09801" "uncharacterized protein"
"K09802" "uncharacterized protein"
"K09803" "uncharacterized protein"
"K09804" "uncharacterized protein"
"K09805" "uncharacterized protein"
"K09806" "uncharacterized protein"
"K09807" "uncharacterized protein"
"K09808" "lipoprotein-releasing system permease protein"
"K09809" "CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]"
"K09810" "lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]"
"K09811" "cell division transport system permease protein"
"K09812" "cell division transport system ATP-binding protein"
"K09813" "hemin transport system permease protein"
"K09814" "hemin transport system ATP-binding protein [EC:3.6.3.-]"
"K09815" "zinc transport system substrate-binding protein"
"K09816" "zinc transport system permease protein"
"K09817" "zinc transport system ATP-binding protein [EC:3.6.3.-]"
"K09818" "manganese/iron transport system substrate-binding protein"
"K09819" "manganese/iron transport system permease protein"
"K09820" "manganese/iron transport system ATP-binding protein"
"K09822" "uncharacterized protein"
"K09823" "Fur family transcriptional regulator, zinc uptake regulator"
"K09824" "uncharacterized protein"
"K09825" "Fur family transcriptional regulator, peroxide stress response regulator"
"K09826" "Fur family transcriptional regulator, iron response regulator"
"K09828" "Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]"
"K09834" "tocopherol cyclase [EC:5.5.1.24]"
"K09835" "prolycopene isomerase [EC:5.2.1.13]"
"K09836" "beta-carotene ketolase (CrtW type)"
"K09844" "carotenoid 1,2-hydratase [EC:4.2.1.131]"
"K09845" "1-hydroxycarotenoid 3,4-desaturase [EC:1.3.99.27]"
"K09846" "demethylspheroidene O-methyltransferase [EC:2.1.1.210]"
"K09847" "spheroidene monooxygenase [EC:1.14.15.9]"
"K09857" "uncharacterized protein"
"K09858" "SEC-C motif domain protein"
"K09859" "uncharacterized protein"
"K09860" "uncharacterized protein"
"K09861" "uncharacterized protein"
"K09862" "uncharacterized protein"
"K09866" "aquaporin-4"
"K09879" "isorenieratene synthase"
"K09880" "enolase-phosphatase E1 [EC:3.1.3.77]"
"K09882" "cobaltochelatase CobS [EC:6.6.1.2]"
"K09883" "cobaltochelatase CobT [EC:6.6.1.2]"
"K09887" "dCTP deaminase (dUMP-forming) [EC:3.5.4.30]"
"K09888" "cell division protein ZapA"
"K09889" "ribosome-associated protein"
"K09890" "alternative ribosome-rescue factor"
"K09891" "uncharacterized protein"
"K09892" "cell division protein ZapB"
"K09893" "regulator of ribonuclease activity B"
"K09894" "uncharacterized protein"
"K09895" "uncharacterized protein"
"K09896" "uncharacterized protein"
"K09897" "uncharacterized protein"
"K09898" "uncharacterized protein"
"K09899" "uncharacterized protein"
"K09900" "uncharacterized protein"
"K09901" "uncharacterized protein"
"K09902" "uncharacterized protein"
"K09903" "uridylate kinase [EC:2.7.4.22]"
"K09904" "uncharacterized protein"
"K09906" "elongation factor P hydroxylase [EC:1.14.-.-]"
"K09907" "uncharacterized protein"
"K09908" "uncharacterized protein"
"K09909" "uncharacterized protein"
"K09910" "uncharacterized protein"
"K09911" "uncharacterized protein"
"K09912" "uncharacterized protein"
"K09913" "purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2]"
"K09914" "putative lipoprotein"
"K09915" "uncharacterized protein"
"K09916" "uncharacterized protein"
"K09917" "uncharacterized protein"
"K09918" "uncharacterized protein"
"K09919" "uncharacterized protein"
"K09920" "uncharacterized protein"
"K09921" "uncharacterized protein"
"K09922" "uncharacterized protein"
"K09923" "uncharacterized protein"
"K09924" "uncharacterized protein"
"K09925" "uncharacterized protein"
"K09926" "uncharacterized protein"
"K09927" "uncharacterized protein"
"K09928" "uncharacterized protein"
"K09929" "uncharacterized protein"
"K09930" "uncharacterized protein"
"K09931" "uncharacterized protein"
"K09932" "uncharacterized protein"
"K09933" "MtfA peptidase"
"K09934" "uncharacterized protein"
"K09935" "uncharacterized protein"
"K09936" "bacterial/archaeal transporter family-2 protein"
"K09937" "uncharacterized protein"
"K09938" "uncharacterized protein"
"K09939" "uncharacterized protein"
"K09940" "uncharacterized protein"
"K09941" "uncharacterized protein"
"K09942" "uncharacterized protein"
"K09943" "uncharacterized protein"
"K09944" "uncharacterized protein"
"K09945" "uncharacterized protein"
"K09946" "uncharacterized protein"
"K09947" "uncharacterized protein"
"K09948" "uncharacterized protein"
"K09949" "uncharacterized protein"
"K09950" "uncharacterized protein"
"K09951" "CRISPR-associated protein Cas2"
"K09952" "CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]"
"K09953" "lipid A 3-O-deacylase"
"K09954" "uncharacterized protein"
"K09955" "uncharacterized protein"
"K09956" "uncharacterized protein"
"K09957" "uncharacterized protein"
"K09958" "uncharacterized protein"
"K09959" "uncharacterized protein"
"K09960" "uncharacterized protein"
"K09961" "uncharacterized protein"
"K09962" "uncharacterized protein"
"K09963" "uncharacterized protein"
"K09964" "uncharacterized protein"
"K09965" "uncharacterized protein"
"K09966" "uncharacterized protein"
"K09967" "uncharacterized protein"
"K09968" "uncharacterized protein"
"K09969" "general L-amino acid transport system substrate-binding protein"
"K09970" "general L-amino acid transport system permease protein"
"K09971" "general L-amino acid transport system permease protein"
"K09972" "general L-amino acid transport system ATP-binding protein [EC:3.6.3.-]"
"K09973" "uncharacterized protein"
"K09974" "uncharacterized protein"
"K09975" "uncharacterized protein"
"K09976" "uncharacterized protein"
"K09977" "uncharacterized protein"
"K09978" "uncharacterized protein"
"K09979" "uncharacterized protein"
"K09980" "uncharacterized protein"
"K09981" "uncharacterized protein"
"K09982" "uncharacterized protein"
"K09983" "uncharacterized protein"
"K09984" "uncharacterized protein"
"K09985" "uncharacterized protein"
"K09986" "uncharacterized protein"
"K09987" "uncharacterized protein"
"K09988" "D-lyxose ketol-isomerase [EC:5.3.1.15]"
"K09989" "uncharacterized protein"
"K09990" "uncharacterized protein"
"K09991" "uncharacterized protein"
"K09992" "uncharacterized protein"
"K09994" "aminoalkylphosphonate N-acetyltransferase [EC:2.3.1.-]"
"K09996" "arginine transport system substrate-binding protein"
"K09997" "arginine transport system substrate-binding protein"
"K09998" "arginine transport system permease protein"
"K09999" "arginine transport system permease protein"
"K10000" "arginine transport system ATP-binding protein [EC:3.6.3.-]"
"K10001" "glutamate/aspartate transport system substrate-binding protein"
"K10002" "glutamate/aspartate transport system permease protein"
"K10003" "glutamate/aspartate transport system permease protein"
"K10004" "glutamate/aspartate transport system ATP-binding protein [EC:3.6.3.-]"
"K10005" "glutamate transport system substrate-binding protein"
"K10006" "glutamate transport system permease protein"
"K10007" "glutamate transport system permease protein"
"K10008" "glutamate transport system ATP-binding protein [EC:3.6.3.-]"
"K10009" "cystine transport system permease protein"
"K10010" "cystine transport system ATP-binding protein [EC:3.6.3.-]"
"K10011" "UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]"
"K10012" "undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"
"K10013" "lysine/arginine/ornithine transport system substrate-binding protein"
"K10014" "histidine transport system substrate-binding protein"
"K10015" "histidine transport system permease protein"
"K10016" "histidine transport system permease protein"
"K10017" "histidine transport system ATP-binding protein [EC:3.6.3.21]"
"K10018" "octopine/nopaline transport system substrate-binding protein"
"K10019" "octopine/nopaline transport system permease protein"
"K10020" "octopine/nopaline transport system permease protein"
"K10021" "octopine/nopaline transport system ATP-binding protein [EC:3.6.3.-]"
"K10022" "arginine/ornithine transport system substrate-binding protein"
"K10023" "arginine/ornithine transport system permease protein"
"K10024" "arginine/ornithine transport system permease protein"
"K10025" "arginine/ornithine transport system ATP-binding protein [EC:3.6.3.-]"
"K10026" "7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]"
"K10027" "phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]"
"K10036" "glutamine transport system substrate-binding protein"
"K10037" "glutamine transport system permease protein"
"K10038" "glutamine transport system ATP-binding protein [EC:3.6.3.-]"
"K10039" "putative glutamine transport system substrate-binding protein"
"K10040" "putative glutamine transport system permease protein"
"K10041" "putative glutamine transport system ATP-binding protein [EC:3.6.3.-]"
"K10094" "nickel transport protein"
"K10107" "capsular polysaccharide transport system permease protein"
"K10108" "maltose/maltodextrin transport system substrate-binding protein"
"K10109" "maltose/maltodextrin transport system permease protein"
"K10110" "maltose/maltodextrin transport system permease protein"
"K10111" "multiple sugar transport system ATP-binding protein [EC:3.6.3.-]"
"K10112" "multiple sugar transport system ATP-binding protein"
"K10117" "raffinose/stachyose/melibiose transport system substrate-binding protein"
"K10118" "raffinose/stachyose/melibiose transport system permease protein"
"K10119" "raffinose/stachyose/melibiose transport system permease protein"
"K10120" "fructooligosaccharide transport system substrate-binding protein"
"K10121" "fructooligosaccharide transport system permease protein"
"K10122" "fructooligosaccharide transport system permease protein"
"K10124" "carbohydrate-specific outer membrane porin"
"K10125" "two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]"
"K10126" "two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD"
"K10188" "lactose/L-arabinose transport system substrate-binding protein"
"K10189" "lactose/L-arabinose transport system permease protein"
"K10190" "lactose/L-arabinose transport system permease protein"
"K10191" "lactose/L-arabinose transport system ATP-binding protein"
"K10192" "oligogalacturonide transport system substrate-binding protein"
"K10193" "oligogalacturonide transport system permease protein"
"K10194" "oligogalacturonide transport system permease protein"
"K10195" "oligogalacturonide transport system ATP-binding protein"
"K10199" "glucose/arabinose transport system ATP-binding protein"
"K10200" "N-acetylglucosamine transport system substrate-binding protein"
"K10201" "N-acetylglucosamine transport system permease protein"
"K10202" "N-acetylglucosamine transport system permease protein"
"K10206" "LL-diaminopimelate aminotransferase [EC:2.6.1.83]"
"K10208" "4,4-diapophytoene synthase [EC:2.5.1.96]"
"K10209" "4,4-diapophytoene desaturase [EC:1.3.8.2]"
"K10210" "diapolycopene oxygenase [EC:1.14.99.44]"
"K10211" "4,4-diaponeurosporenoate glycosyltransferase [EC:2.4.1.-]"
"K10212" "glycosyl-4,4-diaponeurosporenoate acyltransferase [EC:2.3.1.-]"
"K10213" "ribosylpyrimidine nucleosidase [EC:3.2.2.8]"
"K10215" "monooxygenase [EC:1.14.13.-]"
"K10216" "2-hydroxymuconate-semialdehyde hydrolase [EC:3.7.1.9]"
"K10217" "aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]"
"K10218" "4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]"
"K10219" "2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [EC:1.1.1.312]"
"K10220" "4-oxalmesaconate hydratase [EC:4.2.1.83]"
"K10221" "2-pyrone-4,6-dicarboxylate lactonase [EC:3.1.1.57]"
"K10222" "2,6-dioxo-6-phenylhexa-3-enoate hydrolase [EC:3.7.1.8]"
"K10227" "sorbitol/mannitol transport system substrate-binding protein"
"K10228" "sorbitol/mannitol transport system permease protein"
"K10229" "sorbitol/mannitol transport system permease protein"
"K10231" "kojibiose phosphorylase [EC:2.4.1.230]"
"K10232" "alpha-glucoside transport system substrate-binding protein"
"K10233" "alpha-glucoside transport system permease protein"
"K10234" "alpha-glucoside transport system permease protein"
"K10235" "alpha-glucoside transport system ATP-binding protein"
"K10236" "trehalose/maltose transport system substrate-binding protein"
"K10237" "trehalose/maltose transport system permease protein"
"K10238" "trehalose/maltose transport system permease protein"
"K10240" "cellobiose transport system substrate-binding protein"
"K10241" "cellobiose transport system permease protein"
"K10242" "cellobiose transport system permease protein"
"K10251" "17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.62 1.1.1.330]"
"K10253" "DOPA 4,5-dioxygenase [EC:1.14.99.-]"
"K10254" "oleate hydratase [EC:4.2.1.53]"
"K10255" "acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]"
"K10277" "lysine-specific demethylase 8 [EC:1.14.11.27]"
"K10297" "F-box protein 11"
"K10353" "deoxyadenosine kinase [EC:2.7.1.76]"
"K10439" "ribose transport system substrate-binding protein"
"K10440" "ribose transport system permease protein"
"K10441" "ribose transport system ATP-binding protein [EC:3.6.3.17]"
"K10530" "L-lactate oxidase [EC:1.1.3.2]"
"K10531" "L-ornithine N5-monooxygenase [EC:1.14.13.195 1.14.13.196]"
"K10533" "limonene-1,2-epoxide hydrolase [EC:3.3.2.8]"
"K10535" "hydroxylamine dehydrogenase [EC:1.7.2.6]"
"K10536" "agmatine deiminase [EC:3.5.3.12]"
"K10537" "L-arabinose transport system substrate-binding protein"
"K10538" "L-arabinose transport system permease protein"
"K10539" "L-arabinose transport system ATP-binding protein [EC:3.6.3.17]"
"K10540" "methyl-galactoside transport system substrate-binding protein"
"K10541" "methyl-galactoside transport system permease protein"
"K10542" "methyl-galactoside transport system ATP-binding protein [EC:3.6.3.17]"
"K10543" "D-xylose transport system substrate-binding protein"
"K10544" "D-xylose transport system permease protein"
"K10545" "D-xylose transport system ATP-binding protein [EC:3.6.3.17]"
"K10546" "putative multiple sugar transport system substrate-binding protein"
"K10547" "putative multiple sugar transport system permease protein"
"K10548" "putative multiple sugar transport system ATP-binding protein [EC:3.6.3.17]"
"K10549" "D-allose transport system substrate-binding protein"
"K10550" "D-allose transport system permease protein"
"K10551" "D-allose transport system ATP-binding protein [EC:3.6.3.17]"
"K10552" "fructose transport system substrate-binding protein"
"K10553" "fructose transport system permease protein"
"K10554" "fructose transport system ATP-binding protein"
"K10555" "AI-2 transport system substrate-binding protein"
"K10556" "AI-2 transport system permease protein"
"K10557" "AI-2 transport system permease protein"
"K10558" "AI-2 transport system ATP-binding protein"
"K10559" "rhamnose transport system substrate-binding protein"
"K10560" "rhamnose transport system permease protein"
"K10561" "rhamnose transport system permease protein"
"K10562" "rhamnose transport system ATP-binding protein [EC:3.6.3.17]"
"K10563" "formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]"
"K10564" "chemotaxis protein MotC"
"K10565" "chemotaxis protein MotD"
"K10566" "phenylacetaldoxime dehydratase [EC:4.99.1.7]"
"K10614" "E3 ubiquitin-protein ligase HERC3 [EC:2.3.2.26]"
"K10617" "p-cumic alcohol dehydrogenase"
"K10618" "p-cumic aldehyde dehydrogenase"
"K10619" "p-cumate 2,3-dioxygenase subunit alpha [EC:1.14.12.25]"
"K10620" "2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase [EC:1.3.1.58]"
"K10621" "2,3-dihydroxy-p-cumate/2,3-dihydroxybenzoate 3,4-dioxygenase [EC:1.13.11.- 1.13.11.14]"
"K10622" "HCOMODA/2-hydroxy-3-carboxy-muconic semialdehyde decarboxylase [EC:4.1.1.-]"
"K10670" "glycine/sarcosine/betaine reductase complex component A [EC:1.21.4.2 1.21.4.3 1.21.4.4]"
"K10671" "glycine reductase complex component B subunit alpha and beta [EC:1.21.4.2]"
"K10672" "glycine reductase complex component B subunit gamma [EC:1.21.4.2]"
"K10673" "streptomycin 3\-kinase [EC:2.7.1.87]"
"K10674" "ectoine hydroxylase [EC:1.14.11.55]"
"K10676" "2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]"
"K10677" "inulin fructotransferase (DFA-I-forming) [EC:4.2.2.17]"
"K10678" "nitroreductase [EC:1.-.-.-]"
"K10679" "nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]"
"K10680" "N-ethylmaleimide reductase [EC:1.-.-.-]"
"K10681" "two-component system, OmpR family, sensor histidine kinase SaeS [EC:2.7.13.3]"
"K10682" "two-component system, OmpR family, response regulator SaeR"
"K10697" "two-component system, OmpR family, response regulator RpaA"
"K10701" "acetophenone carboxylase [EC:6.4.1.8]"
"K10702" "2-hydroxy-6-oxohepta-2,4-dienoate hydroxylase [EC:3.7.1.-]"
"K10708" "fructoselysine 6-phosphate deglycase [EC:3.5.-.-]"
"K10709" "fructoselysine 3-epimerase [EC:5.1.3.41]"
"K10710" "fructoselysine 6-kinase [EC:2.7.1.218]"
"K10711" "GntR family transcriptional regulator, frlABCD operon transcriptional regulator"
"K10713" "5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147]"
"K10714" "methylene-tetrahydromethanopterin dehydrogenase [EC:1.5.1.-]"
"K10715" "two-component system, sensor histidine kinase RpfC [EC:2.7.13.3]"
"K10716" "voltage-gated potassium channel"
"K10725" "archaeal cell division control protein 6"
"K10726" "replicative DNA helicase Mcm [EC:3.6.4.-]"
"K10742" "DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]"
"K10747" "DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]"
"K10748" "DNA replication terminus site-binding protein"
"K10762" "putative replication protein"
